,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.14
Defunciones en el año (t), por grupos de edad, según región y provincia  de residencia habitual de la persona fallecida y sexo
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regiones, provincias y sexo",,Total,Menos de 1 mes,1- 11 meses,1 año,2  años,3 años,4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 - 69 años,70 - 74 años,75 - 79 años,80 - 84 años,85 y más años,Sin información,,INDICE
,Mujer," 2,361 ", 28 , 26 , 6 , 1 , 5 , 4 , 8 , 11 , 25 , 28 , 33 , 47 , 44 , 61 , 100 , 118 , 161 , 197 , 229 , 267 , 251 , 234 , 477 ,  ,,
Manabí,Total," 9,782 ", 122 , 84 , 28 , 11 , 7 , 4 , 35 , 40 , 84 , 160 , 181 , 194 , 220 , 264 , 312 , 434 , 624 , 768 , 998 ," 1,054 ", 968 ," 1,061 "," 2,127 ", 2 ,,
,Hombre," 5,592 ", 65 , 40 , 16 , 7 , 2 , 2 , 22 , 23 , 64 , 130 , 134 , 148 , 141 , 185 , 199 , 271 , 378 , 441 , 565 , 603 , 562 , 583 ," 1,010 ", 1 ,,
,Mujer," 4,190 ", 57 , 44 , 12 , 4 , 5 , 2 , 13 , 17 , 20 , 30 , 47 , 46 , 79 , 79 , 113 , 163 , 246 , 327 , 433 , 451 , 406 , 478 ," 1,117 ", 1 ,,
Santa Elena,Total," 1,972 ", 43 , 16 , 4 , 4 , 3 , 2 , 10 , 9 , 17 , 37 , 49 , 59 , 35 , 65 , 76 , 113 , 139 , 174 , 198 , 199 , 186 , 172 , 361 , 1 ,,
,Hombre," 1,150 ", 21 , 11 , 2 , 3 , 3 , 2 , 6 , 4 , 12 , 31 , 41 , 44 , 27 , 40 , 42 , 82 , 79 , 113 , 113 , 106 , 108 , 91 , 168 , 1 ,,
,Mujer, 822 , 22 , 5 , 2 , 1 ,  ,  , 4 , 5 , 5 , 6 , 8 , 15 , 8 , 25 , 34 , 31 , 60 , 61 , 85 , 93 , 78 , 81 , 193 ,  ,,
Región Amazónica,Total," 3,964 ", 113 , 86 , 32 , 15 , 7 , 9 , 43 , 50 , 104 , 151 , 154 , 148 , 132 , 167 , 138 , 200 , 260 , 267 , 306 , 323 , 328 , 352 , 578 , 1 ,,
,Hombre," 2,402 ", 62 , 41 , 12 , 8 , 3 , 6 , 24 , 26 , 70 , 114 , 119 , 100 , 97 , 117 , 91 , 121 , 161 , 155 , 178 , 197 , 203 , 205 , 291 , 1 ,,
,Mujer," 1,562 ", 51 , 45 , 20 , 7 , 4 , 3 , 19 , 24 , 34 , 37 , 35 , 48 , 35 , 50 , 47 , 79 , 99 , 112 , 128 , 126 , 125 , 147 , 287 ,  ,,
Morona Santiago,Total, 726 , 36 , 26 , 7 , 2 , 1 , 4 , 10 , 9 , 16 , 19 , 31 , 26 , 25 , 30 , 29 , 37 , 43 , 40 , 51 , 55 , 49 , 76 , 104 ,  ,,
,Hombre, 406 , 21 , 11 , 3 , 1 ,  , 2 , 7 , 4 , 11 , 13 , 22 , 13 , 20 , 21 , 15 , 21 , 20 , 21 , 27 , 32 , 28 , 42 , 51 ,  ,,
,Mujer, 320 , 15 , 15 , 4 , 1 , 1 , 2 , 3 , 5 , 5 , 6 , 9 , 13 , 5 , 9 , 14 , 16 , 23 , 19 , 24 , 23 , 21 , 34 , 53 ,  ,,
Napo,Total, 582 , 9 , 19 , 2 , 5 ,  , 1 , 10 , 8 , 16 , 26 , 22 , 16 , 20 , 25 , 16 , 28 , 38 , 35 , 53 , 46 , 55 , 49 , 83 ,  ,,
,Hombre, 361 , 5 , 9 , 1 , 3 ,  ,  , 6 , 4 , 11 , 20 , 18 , 11 , 11 , 22 , 10 , 24 , 23 , 17 , 30 , 29 , 31 , 30 , 46 ,  ,,
,Mujer, 221 , 4 , 10 , 1 , 2 ,  , 1 , 4 , 4 , 5 , 6 , 4 , 5 , 9 , 3 , 6 , 4 , 15 , 18 , 23 , 17 , 24 , 19 , 37 ,  ,,
Pastaza,Total, 465 , 7 , 7 , 4 , 1 , 1 ,  , 6 , 1 , 12 , 15 , 20 , 20 , 13 , 11 , 10 , 20 , 25 , 27 , 34 , 36 , 40 , 51 , 104 ,  ,,
,Hombre, 266 , 3 , 3 , 1 , 1 , 1 ,  , 1 , 1 , 6 , 10 , 15 , 11 , 11 , 5 , 7 , 13 , 17 , 15 , 23 , 22 , 22 , 30 , 48 ,  ,,
,Mujer, 199 , 4 , 4 , 3 ,  ,  ,  , 5 ,  , 6 , 5 , 5 , 9 , 2 , 6 , 3 , 7 , 8 , 12 , 11 , 14 , 18 , 21 , 56 ,  ,,
Zamora Chinchipe,Total, 522 , 9 , 2 , 4 , 1 , 1 , 2 , 5 , 6 , 7 , 9 , 6 , 11 , 17 , 21 , 17 , 22 , 43 , 44 , 42 , 46 , 52 , 58 , 97 ,  ,,
,Hombre, 320 , 4 , 1 ,  ,  ,  , 2 , 4 , 3 , 6 , 6 , 5 , 9 , 13 , 18 , 10 , 12 , 31 , 26 , 21 , 28 , 38 , 36 , 47 ,  ,,
,Mujer, 202 , 5 , 1 , 4 , 1 , 1 ,  , 1 , 3 , 1 , 3 , 1 , 2 , 4 , 3 , 7 , 10 , 12 , 18 , 21 , 18 , 14 , 22 , 50 ,  ,,
Sucumbíos,Total, 980 , 35 , 15 , 10 , 2 , 2 , 2 , 5 , 14 , 20 , 42 , 46 , 40 , 30 , 49 , 43 , 46 , 75 , 73 , 76 , 88 , 82 , 70 , 114 , 1 ,,
,Hombre, 627 , 21 , 8 , 6 , 1 , 2 , 2 , 4 , 8 , 13 , 35 , 37 , 33 , 25 , 32 , 31 , 31 , 46 , 45 , 45 , 50 , 51 , 39 , 61 , 1 ,,
,Mujer, 353 , 14 , 7 , 4 , 1 ,  ,  , 1 , 6 , 7 , 7 , 9 , 7 , 5 , 17 , 12 , 15 , 29 , 28 , 31 , 38 , 31 , 31 , 53 ,  ,,
Orellana,Total, 689 , 17 , 17 , 5 , 4 , 2 ,  , 7 , 12 , 33 , 40 , 29 , 35 , 27 , 31 , 23 , 47 , 36 , 48 , 50 , 52 , 50 , 48 , 76 ,  ,,
,Hombre, 422 , 8 , 9 , 1 , 2 ,  ,  , 2 , 6 , 23 , 30 , 22 , 23 , 17 , 19 , 18 , 20 , 24 , 31 , 32 , 36 , 33 , 28 , 38 ,  ,,
,Mujer, 267 , 9 , 8 , 4 , 2 , 2 ,  , 5 , 6 , 10 , 10 , 7 , 12 , 10 , 12 , 5 , 27 , 12 , 17 , 18 , 16 , 17 , 20 , 38 ,  ,,
Región Insular,Total, 82 , 2 , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 3 , 3 , 4 , 2 , 4 , 2 , 4 , 4 , 9 , 13 , 9 , 6 , 16 ,  ,,
,Hombre, 59 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 , 3 , 2 , 1 , 4 , 2 , 3 , 2 , 7 , 9 , 6 , 5 , 13 ,  ,,
,Mujer, 23 , 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 2 ,  , 2 , 1 ,  ,  , 1 , 2 , 2 , 4 , 3 , 1 , 3 ,  ,,
Galapagos,Total, 82 , 2 , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 3 , 3 , 4 , 2 , 4 , 2 , 4 , 4 , 9 , 13 , 9 , 6 , 16 ,  ,,
