,,,,,,,,,,,,,,
"Cuadro No. 3.1.17 
Defunciones por lugar de residencia habitual, edad,sexo y nivel de instrucción
Año 2021 (p**) ",,,,,,,,,,,,,,
"Nacional, provincial por sexo y rangos de edad",,,Total,Ninguno,Centro de alfabetización,Primaria,Educación Básica,Secundaria,Educación Media / Bachillerato,Superior no universitario,Superior universitario,Postgrado,Sin información,INDICE
,,15 - 19 años, 14 , 2 ,  ,  , 5 ,  , 7 ,  ,  ,  ,  ,
,,20 - 49 años, 119 , 7 , 2 , 22 , 34 , 34 , 2 , 1 , 13 ,  , 4 ,
,,50 - 59 años, 125 , 12 , 1 , 33 , 26 , 36 ,  , 3 , 13 , 1 ,  ,
,,60 y más años," 1,225 ", 598 , 26 , 226 , 192 , 120 ,  , 3 , 26 , 2 , 32 ,
El Oro,Hombre,Total," 2,984 ", 207 , 41 , 865 , 785 , 661 , 51 , 24 , 177 , 6 , 100 ,
,,Menores de 15 años, 128 , 49 ,  ,  , 10 ,  ,  ,  ,  ,  , 2 ,
,,15 - 19 años, 34 , 3 , 1 ,  , 16 ,  , 12 ,  ,  ,  , 2 ,
,,20 - 49 años, 611 , 19 , 8 , 95 , 191 , 190 , 39 , 9 , 29 ,  , 31 ,
,,50 - 59 años, 342 , 9 ,  , 96 , 60 , 141 ,  , 2 , 25 ,  , 9 ,
,,60 y más años," 1,869 ", 127 , 32 , 674 , 508 , 330 ,  , 13 , 123 , 6 , 56 ,
,Mujer,Total," 2,012 ", 261 , 42 , 622 , 476 , 402 , 10 , 5 , 102 ,  , 47 ,
,,Menores de 15 años, 74 , 21 ,  ,  , 7 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 11 , 4 , 1 ,  , 4 ,  , 2 ,  ,  ,  ,  ,
,,20 - 49 años, 208 , 5 , 4 , 32 , 47 , 80 , 8 , 2 , 23 ,  , 7 ,
,,50 - 59 años, 215 , 4 , 2 , 70 , 30 , 77 ,  ,  , 30 ,  , 2 ,
,,60 y más años," 1,504 ", 227 , 35 , 520 , 388 , 245 ,  , 3 , 49 ,  , 37 ,
Esmeraldas,Hombre,Total," 1,631 ", 217 , 11 , 401 , 411 , 399 , 40 , 17 , 84 , 3 , 39 ,
,,Menores de 15 años, 58 , 35 ,  ,  , 13 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 35 , 3 ,  ,  , 18 ,  , 14 ,  ,  ,  ,  ,
,,20 - 49 años, 360 , 16 ,  , 53 , 116 , 131 , 26 , 2 , 11 , 1 , 4 ,
,,50 - 59 años, 178 , 10 , 1 , 50 , 30 , 68 ,  , 2 , 16 ,  , 1 ,
,,60 y más años," 1,000 ", 153 , 10 , 298 , 234 , 200 ,  , 13 , 57 , 2 , 33 ,
,Mujer,Total," 1,132 ", 235 , 9 , 301 , 217 , 254 , 10 , 8 , 52 , 3 , 32 ,
,,Menores de 15 años, 61 , 34 ,  ,  , 13 ,  ,  ,  ,  ,  , 3 ,
,,15 - 19 años, 12 , 3 ,  ,  , 8 ,  , 1 ,  ,  ,  ,  ,
,,20 - 49 años, 174 , 13 ,  , 41 , 30 , 63 , 9 , 5 , 11 , 1 , 1 ,
,,50 - 59 años, 119 , 14 ,  , 29 , 20 , 39 ,  , 1 , 10 , 2 , 4 ,
,,60 y más años, 766 , 171 , 9 , 231 , 146 , 152 ,  , 2 , 31 ,  , 24 ,
Guayas,Hombre,Total," 16,158 "," 1,819 ", 108 ," 2,182 "," 4,261 "," 4,584 ", 270 , 190 , 961 , 21 ," 1,555 ",
,,Menores de 15 años, 578 , 311 ,  ,  , 51 ,  ,  ,  ,  ,  , 9 ,
,,15 - 19 años, 218 , 25 ,  ,  , 112 ,  , 50 ,  ,  ,  , 31 ,
,,20 - 49 años," 3,445 ", 147 , 10 , 305 , 941 ," 1,209 ", 220 , 33 , 124 ,  , 456 ,
,,50 - 59 años," 1,931 ", 96 , 7 , 265 , 412 , 808 ,  , 19 , 135 , 3 , 186 ,
,,60 y más años," 9,986 "," 1,240 ", 91 ," 1,612 "," 2,745 "," 2,567 ",  , 138 , 702 , 18 , 873 ,
,Mujer,Total," 12,064 "," 2,028 ", 71 ," 1,990 "," 3,214 "," 2,966 ", 92 , 103 , 526 , 11 , 883 ,
,,Menores de 15 años, 482 , 270 ,  ,  , 29 ,  ,  ,  ,  ,  , 3 ,
,,15 - 19 años, 86 , 11 , 1 ,  , 30 ,  , 32 ,  ,  ,  , 12 ,
,,20 - 49 años," 1,355 ", 78 , 6 , 141 , 344 , 481 , 60 , 16 , 109 , 3 , 117 ,
,,50 - 59 años," 1,392 ", 91 , 7 , 250 , 332 , 497 ,  , 20 , 89 , 1 , 105 ,
,,60 y más años," 8,749 "," 1,578 ", 57 ," 1,599 "," 2,479 "," 1,988 ",  , 67 , 328 , 7 , 646 ,
Imbabura,Hombre,Total," 1,630 ", 309 , 7 , 502 , 370 , 246 , 37 , 19 , 94 , 2 , 28 ,
,,Menores de 15 años, 60 , 34 ,  ,  , 9 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 22 , 4 , 1 ,  , 8 ,  , 8 ,  ,  ,  , 1 ,
,,20 - 49 años, 224 , 9 ,  , 54 , 45 , 58 , 29 , 7 , 19 ,  , 3 ,
,,50 - 59 años, 177 , 16 ,  , 59 , 33 , 49 ,  , 1 , 14 , 2 , 3 ,
,,60 y más años," 1,147 ", 246 , 6 , 389 , 275 , 139 ,  , 11 , 61 ,  , 20 ,
,Mujer,Total," 1,312 ", 490 , 4 , 314 , 220 , 188 , 12 , 8 , 41 ,  , 19 ,
,,Menores de 15 años, 53 , 32 ,  ,  , 5 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 10 , 1 ,  ,  , 3 ,  , 5 ,  ,  ,  , 1 ,
,,20 - 49 años, 119 , 10 ,  , 21 , 22 , 40 , 7 , 2 , 15 ,  , 2 ,
,,50 - 59 años, 111 , 16 ,  , 32 , 20 , 26 ,  , 3 , 12 ,  , 2 ,
,,60 y más años," 1,019 ", 431 , 4 , 261 , 170 , 122 ,  , 3 , 14 ,  , 14 ,
Loja,Hombre,Total," 1,978 ", 230 , 65 , 745 , 313 , 350 , 35 , 15 , 171 , 3 , 34 ,
,,Menores de 15 años, 60 , 34 ,  ,  , 8 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 23 , 5 ,  ,  , 9 ,  , 8 ,  ,  ,  , 1 ,
,,20 - 49 años, 259 , 7 ,  , 50 , 44 , 85 , 27 , 7 , 36 ,  , 3 ,
,,50 - 59 años, 177 , 7 ,  , 59 , 23 , 56 ,  , 2 , 27 , 1 , 2 ,
,,60 y más años," 1,459 ", 177 , 65 , 636 , 229 , 209 ,  , 6 , 108 , 2 , 27 ,
,Mujer,Total," 1,551 ", 313 , 79 , 539 , 223 , 252 , 8 , 11 , 75 , 3 , 31 ,
,,Menores de 15 años, 41 , 21 ,  ,  , 2 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 8 , 5 ,  ,  , 1 ,  , 2 ,  ,  ,  ,  ,
,,20 - 49 años, 126 , 7 ,  , 30 , 12 , 52 , 6 , 4 , 14 ,  , 1 ,
,,50 - 59 años, 125 , 6 , 2 , 43 , 11 , 46 ,  ,  , 16 ,  , 1 ,
,,60 y más años," 1,251 ", 274 , 77 , 466 , 197 , 154 ,  , 7 , 45 , 3 , 28 ,
Los Ríos,Hombre,Total," 3,416 ", 739 , 15 , 619 , 994 , 561 , 75 , 21 , 118 , 2 , 225 ,
,,Menores de 15 años, 2 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2 ,
,,15 - 19 años, 134 , 68 ,  ,  , 17 ,  ,  ,  ,  ,  , 2 ,
,,20 - 49 años, 56 , 8 ,  ,  , 25 ,  , 18 ,  ,  ,  , 5 ,
,,50 - 59 años, 770 , 53 , 2 , 108 , 255 , 209 , 57 , 7 , 35 ,  , 44 ,
,,60 y más años, 366 , 39 ,  , 69 , 95 , 113 ,  , 5 , 17 ,  , 28 ,
,,Sin Información," 2,088 ", 571 , 13 , 442 , 602 , 239 ,  , 9 , 66 , 2 , 144 ,2
,Mujer,Total," 2,361 ", 631 , 10 , 462 , 652 , 323 , 24 , 14 , 71 , 1 , 138 ,
,,Menores de 15 años, 89 , 41 ,  ,  , 12 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 25 , 4 ,  ,  , 12 ,  , 8 ,  ,  ,  , 1 ,
,,20 - 49 años, 313 , 20 ,  , 38 , 107 , 95 , 16 , 6 , 18 ,  , 13 ,
,,50 - 59 años, 279 , 45 , 1 , 58 , 72 , 69 ,  , 1 , 15 , 1 , 17 ,
,,60 y más años," 1,655 ", 521 , 9 , 366 , 449 , 159 ,  , 7 , 38 ,  , 106 ,
Manabí,Hombre,Total," 5,592 "," 1,068 ", 89 ," 1,352 "," 1,274 "," 1,152 ", 96 , 41 , 263 , 13 , 176 ,
,,Menores de 15 años, 177 , 81 ,  ,  , 28 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 64 , 7 , 1 ,  , 31 ,  , 23 ,  ,  ,  , 2 ,
,,20 - 49 años, 937 , 59 , 3 , 139 , 257 , 298 , 73 , 12 , 61 , 5 , 30 ,
,,50 - 59 años, 649 , 62 , 6 , 145 , 139 , 222 ,  , 8 , 45 , 3 , 19 ,
,,60 y más años," 3,764 ", 859 , 79 ," 1,068 ", 819 , 632 ,  , 21 , 157 , 5 , 124 ,
,,Sin Información, 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,
,Mujer,Total," 4,190 "," 1,032 ", 76 ," 1,115 ", 904 , 648 , 19 , 19 , 192 , 6 , 119 ,
,,Menores de 15 años, 154 , 74 ,  ,  , 17 ,  ,  ,  ,  ,  , 3 ,
,,15 - 19 años, 20 , 3 ,  ,  , 10 ,  , 7 ,  ,  ,  ,  ,
,,20 - 49 años, 394 , 40 , 1 , 81 , 80 , 123 , 12 , 3 , 42 , 2 , 10 ,
,,50 - 59 años, 409 , 45 , 2 , 107 , 86 , 110 ,  , 10 , 38 ,  , 11 ,
,,60 y más años," 3,212 ", 870 , 73 , 927 , 711 , 415 ,  , 6 , 112 , 4 , 94 ,
,,Sin Información, 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,
Morona Santiago,Hombre,Total, 406 , 69 , 3 , 120 , 96 , 65 , 12 , 3 , 16 , 1 , 8 ,
,,Menores de 15 años, 49 , 31 ,  ,  , 5 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 11 ,  ,  ,  , 5 ,  , 6 ,  ,  ,  ,  ,
,,20 - 49 años, 104 ,  ,  , 31 , 30 , 29 , 6 , 1 , 5 ,  , 2 ,
,,50 - 59 años, 41 , 1 ,  , 20 , 6 , 7 ,  , 1 , 4 ,  , 2 ,
,,60 y más años, 201 , 37 , 3 , 69 , 50 , 29 ,  , 1 , 7 , 1 , 4 ,
,Mujer,Total, 320 , 98 , 2 , 77 , 69 , 33 , 5 , 1 , 12 ,  , 9 ,
,,Menores de 15 años, 46 , 26 ,  ,  , 6 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 5 , 1 ,  ,  , 1 ,  , 3 ,  ,  ,  ,  ,
,,20 - 49 años, 56 , 5 ,  , 15 , 12 , 17 , 2 ,  , 4 ,  , 1 ,
,,50 - 59 años, 39 , 3 ,  , 12 , 16 , 7 ,  ,  , 1 ,  ,  ,
,,60 y más años, 174 , 63 , 2 , 50 , 34 , 9 ,  , 1 , 7 ,  , 8 ,
Napo,Hombre,Total, 361 , 65 , 1 , 74 , 77 , 70 , 18 , 2 , 24 , 1 , 20 ,
,,Menores de 15 años, 28 , 13 ,  ,  , 5 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 11 , 2 ,  ,  , 3 ,  , 5 ,  ,  ,  , 1 ,
,,20 - 49 años, 92 , 4 ,  , 14 , 16 , 34 , 13 , 1 , 6 ,  , 4 ,
,,50 - 59 años, 47 ,  ,  , 10 , 10 , 13 ,  , 1 , 8 , 1 , 4 ,
,,60 y más años, 183 , 46 , 1 , 50 , 43 , 23 ,  ,  , 10 ,  , 10 ,
,Mujer,Total, 221 , 80 , 2 , 36 , 44 , 19 , 7 ,  , 11 ,  , 14 ,
,,Menores de 15 años, 26 , 14 ,  ,  , 4 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 5 ,  ,  ,  , 1 ,  , 4 ,  ,  ,  ,  ,
,,20 - 49 años, 33 , 2 ,  , 4 , 9 , 7 , 3 ,  , 5 ,  , 3 ,
,,50 - 59 años, 19 , 3 ,  , 5 , 5 , 2 ,  ,  , 3 ,  , 1 ,
,,60 y más años, 138 , 61 , 2 , 27 , 25 , 10 ,  ,  , 3 ,  , 10 ,
Pastaza,Hombre,Total, 266 , 48 , 3 , 64 , 62 , 61 , 6 , 1 , 9 ,  , 9 ,
,,Menores de 15 años, 11 , 7 ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 6 ,  ,  ,  , 3 ,  , 3 ,  ,  ,  ,  ,
,,20 - 49 años, 59 , 1 , 1 , 10 , 19 , 21 , 3 ,  , 3 ,  , 1 ,
,,50 - 59 años, 30 ,  ,  , 6 , 5 , 15 ,  ,  , 3 ,  , 1 ,
,,60 y más años, 160 , 40 , 2 , 48 , 35 , 25 ,  , 1 , 3 ,  , 6 ,
,Mujer,Total, 199 , 63 , 3 , 42 , 36 , 28 , 5 ,  , 8 ,  , 10 ,
,,Menores de 15 años, 16 , 9 ,  ,  , 2 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 6 ,  ,  ,  , 3 ,  , 2 ,  ,  ,  , 1 ,
,,20 - 49 años, 30 ,  ,  , 2 , 9 , 9 , 3 ,  , 5 ,  , 2 ,
,,50 - 59 años, 15 , 1 ,  , 5 , 4 , 3 ,  ,  , 2 ,  ,  ,
,,60 y más años, 132 , 53 , 3 , 35 , 18 , 16 ,  ,  , 1 ,  , 6 ,
Pichincha,Hombre,Total," 10,350 ", 863 , 27 ," 2,159 "," 2,389 "," 2,741 ", 150 , 133 ," 1,356 ", 27 , 387 ,
,,Menores de 15 años, 417 , 248 ,  ,  , 48 ,  ,  ,  ,  ,  , 3 ,
,,15 - 19 años, 98 , 12 ,  ,  , 40 ,  , 42 ,  , 1 ,  , 3 ,
,,20 - 49 años," 1,750 ", 48 , 1 , 207 , 306 , 695 , 108 , 29 , 233 , 4 , 119 ,
,,50 - 59 años," 1,188 ", 21 , 1 , 232 , 177 , 497 ,  , 18 , 198 , 2 , 42 ,
,,60 y más años," 6,897 ", 534 , 25 ," 1,720 "," 1,818 "," 1,549 ",  , 86 , 924 , 21 , 220 ,
,Mujer,Total," 8,114 "," 1,542 ", 25 ," 1,707 "," 1,703 "," 2,192 ", 59 , 58 , 521 , 8 , 213 ,
,,Menores de 15 años, 326 , 197 ,  ,  , 40 ,  ,  ,  ,  ,  , 3 ,
,,15 - 19 años, 42 , 3 ,  ,  , 16 ,  , 21 ,  ,  ,  , 2 ,
,,20 - 49 años, 782 , 30 ,  , 99 , 142 , 319 , 38 , 7 , 124 , 2 , 21 ,
,,50 - 59 años, 734 , 48 ,  , 157 , 146 , 262 ,  , 5 , 85 , 2 , 29 ,
,,60 y más años," 6,229 "," 1,263 ", 25 ," 1,451 "," 1,359 "," 1,611 ",  , 46 , 312 , 4 , 158 ,
,,Sin Información, 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
Tungurahua,Hombre,Total," 2,300 ", 309 , 9 , 599 , 706 , 387 , 30 , 25 , 174 , 9 , 30 ,
,,Menores de 15 años, 56 , 15 ,  ,  , 17 ,  ,  ,  ,  ,  , 2 ,
,,15 - 19 años, 19 , 3 ,  ,  , 6 ,  , 9 , 1 ,  ,  ,  ,
,,20 - 49 años, 366 , 12 , 1 , 56 , 116 , 106 , 21 , 4 , 42 , 2 , 6 ,
,,50 - 59 años, 256 , 9 ,  , 75 , 63 , 74 ,  , 5 , 25 ,  , 5 ,
,,60 y más años," 1,602 ", 270 , 8 , 468 , 504 , 207 ,  , 15 , 107 , 7 , 16 ,
,,Sin Información, 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,
,Mujer,Total," 1,818 ", 614 , 10 , 400 , 421 , 244 , 14 , 7 , 83 , 3 , 7 ,
,,Menores de 15 años, 50 , 24 ,  ,  , 10 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 17 , 1 ,  ,  , 6 ,  , 9 ,  , 1 ,  ,  ,
,,20 - 49 años, 177 , 15 ,  , 30 , 52 , 45 , 5 , 1 , 25 , 3 , 1 ,
,,50 - 59 años, 145 , 14 ,  , 31 , 38 , 45 ,  , 2 , 15 ,  ,  ,
,,60 y más años," 1,429 ", 560 , 10 , 339 , 315 , 154 ,  , 4 , 42 ,  , 5 ,
Zamora Chinchipe,Hombre,Total, 320 , 31 , 6 , 103 , 70 , 68 , 5 , 7 , 17 ,  , 10 ,
,,Menores de 15 años, 14 , 7 ,  ,  , 4 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 6 ,  ,  ,  , 4 ,  , 2 ,  ,  ,  ,  ,
,,20 - 49 años, 61 , 2 ,  , 10 , 11 , 25 , 3 , 2 , 5 ,  , 3 ,
,,50 - 59 años, 43 , 2 , 1 , 10 , 6 , 15 ,  , 2 , 7 ,  ,  ,
