Tipo Muert.;Provincia;Cantón;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Probable Causa M.;Edad;Med. Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anio_i;Mes_i;Cod_prov;cod_cantón
ASESINATO;EL ORO;MACHALA;URBANO;CASA/VILLA;PRIVADO;8/1/2023;8:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;39;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;7;505
ASESINATO;EL ORO;MACHALA;URBANO;CASA/VILLA;PRIVADO;8/1/2023;8:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;7;505
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;8/1/2023;4:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;1:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;23;9003
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;8/1/2023;1:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;NO DETERMINADO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;8/1/2023;12:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;8/1/2023;2:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;43;A;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;LOCALES DE NECESIDADES BASICAS;PRIVADO;8/1/2023;13:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;INTERIOR DE TAXI;PRIVADO;8/1/2023;16:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;8/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
